CN3	AS2	NEC2	BRC	UPRC1	NEC3	NEC1	IN	GPC	NEC4	AS3	OPC/OL	Inter	Neuron	AS1	CBC	CN1	CN2	PGC2	CN5	ME	CN4	PGC1	UPRC2
NUSAP1	0.0888237053643235	0.221692125314922	1.62372801625205	0.107475696840921	0.116308076437462	1.04257017582252	2.12156359912756	0.0967444494429289	0.120729398215729	0.85048420484047	0.213033405091251	0.236071785543147	0.192572008998652	0.139532383268493	0.128522778122707	0.0944831904812708	0.089267905691741	0.0592744883532465	0.172236216722755	0.114284155153365	0.0785871755454407	0.0892263853371798	0.124231349464424	0.0751255399930715
PLA2G2A	-8.16245054143609e-05	0.00351151740829146	0.00062230102758639	0.00226016394650619	0.00183111470184058	0.00230385565093418	0.00657526874860771	0.000312157522048196	0.00498126429104603	0.00149482641244612	0.00320172949446836	0.000177552563627298	0.000981676016604858	-5.53794896075384e-06	0.00279940629116358	-5.89552857150254e-05	9.90749416529961e-05	8.30944888948719e-05	0.018092692575619	0.000949206115663366	-0.00475255128885382	-0.000397926324476118	0.0528649888308183	0.0802268310199162
TAC3	0.0903664271282006	0.0364594724217199	0.0957206140339508	0.0124102095080844	0.0737245849896831	0.0822121323106446	0.0919940224259049	0.163934712264771	0.0591092862439053	0.0992355386609021	0.0656510884313831	0.144539660061084	0.0772990186440311	0.522195131931159	0.0564563999312968	0.0088184354482745	0.0843398941938931	0.0363819067478494	0.0329904450545066	0.0572132315317069	0.0627405130569741	0.0916547465141342	0.0219848704196725	0.0207437216447581
APOA2	0.000465949835998236	0.00167887954370761	0.00167971330126998	0.00180132974864877	0.00693451969084071	0.00115148897529806	0.00347315649765836	0.00125103558303798	0.0031050941224249	0.00125438327798388	0.00212700904905653	0.00511356583161599	0.00690983534063367	0.00228399138972868	-0.000242008998687864	0.00284360054331362	0.000547322352710114	0.00281851739810904	0.00658657622928966	0.00111730248782766	0.0181294160611508	0.00484049183745982	0.0130567586260099	0.165597097406486
SPINK1	0.00439091899328543	0.0100675090057767	0.00348138754006336	0.0113814630945	0.0748806764160669	0.00924153415566376	-0.000582248231928686	0.00569010226378623	0.0315134136540138	0.00822485967746779	0.00516661973060269	0.00615950129777859	0.0180075374537854	0.00173980450988294	0.00282212502939411	0.00636935304865264	0.00398657066949592	0.00488688843067013	0.0317458110387932	0.0157625960609347	0.0673390276941832	0.00753218764693302	0.0320198924134218	0.393840134209305
DCN	0.0529276886906961	0.213987782567207	0.0978918721580421	0.401026637571009	0.0592887329288413	0.119121829047382	0.114377917299836	0.0476387628302239	0.128669684774887	0.143564979153018	0.114876434211957	0.111281867556143	0.185829630927544	0.0349798397851864	0.0860961258526099	0.320612597872195	0.0464813570234557	0.0402975148688383	0.391473492160633	0.0520765650421787	0.303678139996319	0.0451121986200209	1.01157913069728	0.536298397639557
CRH	0.0311344029239314	0.0339162461159537	0.01441970681313	0.00560261979435475	0.0174316969355809	0.0190392297210477	0.00372337799934096	0.0448971496778018	0.0172717137949162	0.013594218278434	0.0216989522556811	0.00974546845611546	0.0164348739073379	0.014860349110027	0.0431637205555239	0.00238783957461372	0.0330066750866797	0.0502751726028206	0.0200121960736638	0.0319346924098003	0.0379590495309394	0.0257996476505711	0.00911703594539262	0.0037175746071316
MAP1B	3.39926841017479	2.07220717940652	2.49245723977704	1.9076193144315	2.53338626718807	2.0757943622194	2.27807817148902	3.14650006056714	2.10342733872205	2.26327290434891	2.26786655747637	2.47817015591446	2.8643110786175	3.14538324815321	2.15827927477746	1.84062957795912	3.52764771269422	3.62449387351509	2.29360331153253	3.05802267119462	2.61257786415696	3.15095699819291	1.90982175909438	1.64936035785503
VIM	1.1513674312683	3.55719958865037	3.53323064471712	2.65732462759284	1.98757517958946	3.81638128893824	4.05418764880216	1.26109195084742	3.64635920321303	3.31743516171206	3.60607012586186	2.93792496640294	2.41997610190992	1.59714163159036	3.89706315617648	1.96656009918216	1.21949305719236	0.919610964906543	3.12304134636377	1.94405022619502	2.19910054213039	1.44222433459228	3.43469447410447	2.29443380097237
TNNC1	0.033862230763924	0.0290654721267096	0.0228038459847108	0.0563668579617221	0.0472509049254309	0.025644732970677	0.0139873384326633	0.0254485790763212	0.0233814900494878	0.0310033523015876	0.0233941124437735	0.0250948486447806	0.0511193000818415	0.0235181366289976	0.0176329828156259	0.042734706555147	-0.000988837834988591	0.0337069683974145	0.128268846310267	0.0815838119467921	0.227108090476942	0.0643119460450838	0.0743192685184675	0.0720004310166076
