Astrocyte	Endothelial	Glycolytic RG	Hindbrain RG	Layer VI Occipital	Low quality	Microglia	Mixed	Newborn Low-Quality	oRG	Outlier	Pan-neuronal	Pan-radial glia	SST-MGE1	Unknown	Upper Layer	V1 Neurons
TNFRSF25	77.8655553131586	198.774388426842	128.681778542921	132.028414124807	137.606126377733	66.0444140198126	37.1987921890877	58.7517021859236	114.025091177437	148.336145503358	0	192.079569569057	168.702051498895	0	140.199424811705	102.822504556732	86.0468963019104
PLEKHG5	50.1544119876015	113.044518299399	71.2527542437432	181.496083297739	266.965752046182	95.3170836260367	75.1084184531446	74.7997850386769	83.7903228357688	86.2504900640719	0	314.044022085922	253.639965797293	151.090758810442	144.298668893765	126.765242693811	132.464779292802
NOL9	220.247122070108	169.461661153834	163.981922920414	175.736245088648	174.238479318909	224.762897220858	42.1979902945642	110.673938974716	150.462212389559	131.858901685988	0	279.905810703811	296.352779417365	129.131336386413	266.865873194488	113.611587430195	138.61292744095
ZBTB48	73.4801270747041	264.287375439525	122.744615639995	247.901102602758	114.537459695733	128.53459513248	16.4999319846408	112.847315718351	143.403879056225	159.592447903043	17.8565022421525	227.576644038405	291.471638743295	124.544088807845	241.414118808523	154.725642980906	172.131445959469
KLHL21	102.468979305991	287.834994487144	104.425559378581	93.6774230767932	112.905145985576	73.8119221971798	36.4522304646451	92.0927701435442	81.8721377899325	70.7353050459017	0	147.774858322856	259.658359190687	0	152.117285623867	104.299989207427	119.605804933828
PHF13	101.554266898743	144.9706346768	118.565832238947	204.988940440596	361.386627467057	123.260936436544	33.5577775929903	146.408843152816	95.185954228076	141.806207508899	0	163.268718711785	477.717957250285	144.96460162811	222.694702023318	140.24443425489	97.1314536332534
THAP3	196.993550641537	306.192869945021	201.84555928405	206.174424311631	174.488479320547	228.345784921393	55.1962266260775	176.221558022341	275.149493091313	258.381859667749	0	682.584598582596	Inf	201.389702844831	551.326657508214	163.908744709128	191.551445959469
DNAJC11	125.113987149473	161.501668163878	160.886630712627	238.165373952932	175.812553392984	261.365440941049	39.5565946520008	121.706406667336	126.273378614537	229.693288239178	0	248.654110023537	325.296991941092	207.053998717507	498.985873194488	235.021091144912	97.1314537260102
CAMTA1	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	325.061224489796	Inf	Inf	Inf	Inf	Inf	297.43936632048
VAMP3	159.958673978432	320.716483910381	141.829769810366	379.361389420188	261.616857697287	142.618514316208	61.3532859458102	162.552160630455	142.89594254829	206.141859667749	0	211.928032926031	557.984700457327	233.144088807597	335.116877210553	121.2755004775	120.778504924343
PER3	128.766764927251	88.4016696667303	82.4036238001791	80.4458369923206	72.0537037614348	82.5276031032146	68.95906509478	53.4239898896789	48.4401109402844	90.9854960313849	0	106.317325970463	133.775009224329	57.0415247050333	83.9611293843858	49.6080874893366	86.0468558689023
PARK7	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	293.973154362416	Inf	Inf	Inf	Inf	Inf	Inf
ERRFI1	158.624306243762	Inf	248.34555928405	Inf	176.182923763354	197.75837233398	84.4431373558262	95.7319746918403	216.070545722892	241.503438616728	0	223.728939963967	Inf	144.96460175971	423.873448952064	255.391817640638	115.7347929586
